"H28ID","理由・コメント","H28表記(計算列)","医学教育課修正案(20220419)","医学教育課からのコメント(20220419)","タブ名","#VALUE!","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15","H28表記","第1層"
"F-03-05-08-01","技能へ","主訴からの診断推論を組み立てられる、又はたどることができる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-01-01-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-01-03-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-01-04-03","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-01-05-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-01-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-02-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-03-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-04-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-05-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-06-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-07-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-08-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-09-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-10-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-11-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-12-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-14-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-15-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"E-07-03-na-04","「知識」の「成長発達」部分と内容が重複しているため削除しました（遠藤）","小児保健における予防接種の意義と内容を説明できる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"A-01-02-na-04","コミュで対応","インフォームド・コンセントとインフォームド・アセントの意義と必要性を説明できる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"F-02-01-na-07","コミュで対応","治療やマネジメントに関して意思決定するために、患者側と情報共有や摺り合わせをすることができる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"E-03-01-na-02","削除された","腫瘍の症候を説明できる","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"D-05-04-08-02","word明記が無かった,234に追記","上大静脈症候群の病因と症候を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"D-06-01-na-09","word明記が無かった,246に記載あり","血液による酸素 と二酸化炭素 の運搬の仕組みを説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"D-06-03-01-01","word明記が無かった,削除","喘鳴の発生機序と原因疾患を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-03-03-na-05","削除された","腫瘍の生物学的療法を概説できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"D-06-04-08-04","word明記が無かった,252に記載あり、252は新設ではありません","胸膜生検の適応を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"D-07-04-08-11","削除された","嚢胞性膵腫瘍の分類と病理所見を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"D-08-04-08-02","削除された","尿路の炎症（膀胱炎・前立腺炎・尿道炎）の病因、診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"D-09-04-02-06","削除された","外陰、腟と骨盤内感染症の症候、診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-02-na-02","削除された","ウイルス感染症診断における抗原検査、核酸増幅検査、血清抗体検査を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-02-na-03","削除された","細菌感染症診断における直接塗抹、Gram染色、培養検査、抗原検査、核酸増幅検査、毒素検出検査、血清抗体検査を説明できる","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-02-na-04","削除された","真菌感染症診断における直接塗抹、培養検査、抗原検査、核酸増幅検査を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-02-na-05","word明記が無かった,削除","病原微生物及び感染臓器ごとの適切な抗微生物薬を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-02-na-08","word明記が無かった,削除","感染症法を概説できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-01-01","削除された","インフルエンザの症候と診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-01-02","削除された","麻疹の症候と診断と合併症及び予防法を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-01-03","削除された","風疹の症候と診断と合併症及び予防法を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-01-04","削除された","水痘・帯状疱疹の症候と診断と治療及び予防法を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-01-05","削除された","流行性耳下腺炎（ムンプス）の症候と診断と合併症及び予防法を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-01-06","削除された","ヒト免疫不全ウイルス<HIV>感染症の症候と診断と治療及び感染対策を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-01-07","削除された","単純ヘルペスウイルス感染症、伝染性紅斑、手足口病、突発性発疹、咽頭結膜熱、伝染性単核(球)症を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-01-08","削除された","サイトメガロウイルス<CMV>感染症を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-01-09","削除された","ヒトT細胞白血病ウイルス(human T-cell leukemia virus type 1 <HTLV-I>)感染症を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-01-10","削除された","プリオン病を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-01","削除された","黄色ブドウ球菌感染症の症候と診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-02","削除された","A群β溶血性レンサ球菌感染症の症候と診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-03","削除された","肺炎球菌感染症の症候と診断と治療と予防法を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-04","削除された","インフルエンザ(桿)菌感染症とMoraxella catarrhalis感染症を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-05","削除された","緑膿菌感染症の症候と診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-06","削除された","大腸菌感染症の症候と診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-07","削除された","Clostridium difficile感染症の症候と診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-08","削除された","結核症、非結核性（非定型）抗酸菌症の症候と診断と治療及び予防法を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-09","削除された","マイコプラズマ感染症を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-10","削除された","クラミジア感染症を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-11","削除された","レジオネラ感染症を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-12","削除された","リケッチア感染症を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-02-13","削除された","カンピロバクター、サルモネラ、リステリア感染症を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-03-01","削除された","カンジダ症、クリプトコックス症、アスペルギルス症の症候と診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-03-02","削除された","ニューモシスチス肺炎の症候と診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-03-03","削除された","主な寄生虫感染症（回虫症、アニサキス症、吸虫症）を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-03-04","削除された","主な原虫感染症（マラリア、トキソプラズマ症、アメーバ赤痢）を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-04-01","削除された","性感染症の原因微生物を説明できる","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-04-02","削除された","梅毒の症候と診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-04-03","削除された","淋菌感染症の診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-04-04-04","削除された","性器クラミジア、性器ヘルペス、尖圭コンジローマの診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-02-01-na-01","word明記が無かった,削除","敗血症の症候と診断と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-02-03-03-01,C-02-03-03-02","word明記が無かった","生体の非特異的防御機構を説明できる。,特異的防御機構である免疫系の役割を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-02-03-03-03","word明記が無かった","体液性と細胞性免疫応答を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-02-01-02-03,C-02-01-02-04","word明記が無かった","細胞内輸送システムを説明できる。,微小管の役割や機能を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-02-01-03,C-03-02-01-04","削除された","免疫学的自己の確立と破綻を説明できる。,自然免疫と獲得免疫の違いを説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-02-03-01","削除された","抗原レセプターからのシグナルを増強あるいは減弱する調節機構を概説できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-02-03-02","削除された","代表的なサイトカイン・ケモカインの特徴を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-01-01-01","word明記が無かった","ウイルス粒子の構造を図示し、各部の機能を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-01-02-01,C-03-01-02-02,C-03-01-02-03","word明記が無かった","ウイルスに対する中和反応と細胞性免疫を説明できる。,ワクチンによるウイルス感染症予防の原理を説明できる。,ワクチンの種類と問題点を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-01-03-03","word明記が無かった","レトロウイルス(ヒト免疫不全ウイルス(human immunodeficiency virus <HIV>)の特性と一般ゲノム構造を説明し、分類できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-01-04-01","word明記が無かった,編集あり","細菌の構造を図示し、形態と染色性により分類できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-01-04-05","word明記が無かった,1項目の内容が多くなりすぎており要検討(近藤)","Gram陰性球菌（淋菌、髄膜炎菌）の細菌学的特徴とそれが引き起こす疾患を列挙できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-01-04-07","word明記が無かった","Gram陰性桿菌（大腸菌、赤痢菌、サルモネラ菌、チフス菌、ペスト菌、コレラ菌、百日咳菌、腸炎ビブリオ菌、緑膿菌、ブルセラ菌、レジオネラ菌、インフルエンザ(桿)菌）の細菌学的特徴とそれが引き起こす疾患を列挙できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-01-04-08","word明記が無かった","Gram陰性スピリルム属病原菌 (Helicobacter pylori)の細菌学的特徴とそれが引き起こす疾患を列挙できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-03-01-01","word明記が無かった","薬物・毒物の濃度反応曲線を描き、その決定因子を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-03-01-03","word明記が無かった","薬物・毒物の用量反応曲線を描き、有効量・中毒量・致死量の関係を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-03-02-02","word明記が無かった","薬物の生体膜通過に影響する因子を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-03-02-03","word明記が無かった,他の文言と揃え「皮膚」⇒「経皮」、「直腸」 ⇒「経直腸」でしょうか。（資料「医学教育指導者のためのWSの事前アンケートで出た意見まとめ」より引用）（鋪野）","薬物投与方法（経口、舌下、皮膚、粘膜、直腸、注射、吸入、点眼、点鼻等）を列挙し、それぞれの薬物動態を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"C-03-03-03-01","word明記が無かった,","薬物の評価におけるプラセボ効果の意義を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-01-na-01","E7,8,9は総合に","胎児の循環・呼吸の生理的特徴と出生時の変化を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-01-na-02","E7,8,9は総合に","主な先天性疾患を列挙できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-01-na-03","E7,8,9は総合に","新生児の生理的特徴を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-01-na-04","E7,8,9は総合に","胎児機能不全(non-reassuring fetal status <NRFS>)を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-01-na-05","E7,8,9は総合に","新生児仮死の病態を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-01-na-07","E7,8,9は総合に","新生児黄疸の鑑別と治療を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-01-na-08","E7,8,9は総合に","新生児期の呼吸障害の病因を列挙できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-01-na-09","E7,8,9は総合に","正常児・低出生体重児・病児の管理の基本を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-01-na-10","E7,8,9は総合に","低出生体重児固有の疾患を概説できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-01-na-06","E7,8,9は総合に","新生児マススクリーニングを説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-02-na-01","E7,8,9は総合に","乳幼児の生理機能の発達を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-02-na-02","E7,8,9は総合に","乳幼児の正常な精神運動発達を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-02-na-03","E7,8,9は総合に","乳幼児の保育法・栄養法の基本を概説できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-02-na-04","E7,8,9は総合に","乳幼児突然死症候群(sudden infant death syndrome <SIDS>)を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-03-na-01","E7,8,9は総合に","小児の精神運動発達及び心身相関を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-03-na-02","E7,8,9は総合に","小児の栄養上の問題点を列挙できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-03-na-03","E7,8,9は総合に","小児免疫発達と感染症の関係を概説できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-03-na-04","E7,8,9は総合に","小児保健における予防接種の意義と内容を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-03-na-05","E7,8,9は総合に","成長に関わる主な異常（小児心身症を含む）を列挙できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-03-na-06","E7,8,9は総合に","児童虐待を概説できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-03-na-07","E7,8,9は総合に","小児の診断法と治療法における特徴を概説できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-03-na-08","E7,8,9は総合に","神経発達障害群（自閉症スペクトラム障害<ASD>、注意欠如・多動障害<ADHD>、限局性学習障害、チック障害群）を列挙できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-04-na-01","E7,8,9は総合に","思春期発現の機序と性徴を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-04-na-02","E7,8,9は総合に","思春期と関連した精神保健上の問題を列挙できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-07-04-na-03","E7,8,9は総合に","移行期医療の現状と課題を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-08-01-na-01","E7,8,9は総合に","老化学説、老化制御、加齢に伴う臓器の構造的・機能的変化を説明でき、これによる予備能の低下等患者にもたらされる生理的変化を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-08-01-na-02","E7,8,9は総合に","高齢者総合機能評価(comprehensive geriatric assessment <CGA>)を実施できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-08-01-na-03","E7,8,9は総合に","老年症候群（歩行障害・転倒、認知機能障害、排泄障害、栄養障害、摂食・嚥下障害等）の概念を説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-08-01-na-04","E7,8,9は総合に","フレイル、サルコペニア、ロコモティブ・シンドロームの概念、その対処法、予防が説明できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
"E-08-01-na-05","E7,8,9は総合に","認知症、うつ、せん妄の違いを説明し、それぞれの鑑別、初期対応を実施できる。","","","知識","","","","","","","","","","","","","","専門知識に基づいた問題解決能力"
