第2層,第3層,第4層仮番号,第4層,H28対応項目,メモ
医学一般,生命現象の科学,1,細胞の観察法を説明できる。,C-01-01-01-01,「細胞の観察ができる」のみでもよいか？(MY)
医学一般,生命現象の科学,2,細胞の全体像を図示できる。,C-01-01-01-02,
医学一般,生命現象の科学,3,核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、外細胞骨格の種類とその構造と機能を説明できる。,"C-01-01-01-03,C-01-01-01-04,C-01-01-01-05,C-01-01-01-06",
医学一般,生命現象の科学,4,細胞膜の構造と機能、細胞同士の接着と結合様式を説明できる。,C-01-01-01-07,
医学一般,生命現象の科学,5,原核細胞と真核細胞の特徴を説明できる。,C-01-01-01-08,
医学一般,生命現象の科学,6,Mendelの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝を説明できる。,C-01-01-02-01,
医学一般,生命現象の科学,7,遺伝型と表現型の関係を説明できる。,C-01-01-02-02,
医学一般,生命現象の科学,8,染色体の構造を概説し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動を説明できる。,C-01-01-02-03,
医学一般,生命現象の科学,9,デオキシリボ核酸(deoxyribonucleic acid <DNA>)の複製と修復、デオキシリボ核酸<DNA>からリボ核酸(ribonucleic acid <RNA>)への転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）を説明できる。,"C-01-01-02-04,C-01-01-02-05,C-03-01-01-03",
医学一般,生命現象の科学,10,染色体分析・DNA配列決定を含むゲノム解析技術を概説できる。,C-01-01-02-06,
医学一般,生命現象の科学,11,ゲノム編集技術 (CRISPR-Cas 9)とその応用について説明できる。,,新設
医学一般,生命現象の科学,1,進化の基本的な考え方を説明できる。,C-01-02-01-01,
医学一般,生命現象の科学,2,生物種とその系統関係を概説できる。,C-01-02-01-02,
医学一般,生命現象の科学,3,アミノ酸配列や塩基配列の比較による分子系統樹を概説できる。,C-01-02-01-03,
医学一般,個体の構成と機能,1,細胞内液・外液のイオン組成、浸透圧と静止(膜)電位を説明できる。,C-02-01-01-01,
医学一般,個体の構成と機能,2,膜のイオンチャネル、ポンプ、受容体と酵素の機能を概説できる。,C-02-01-01-02,
医学一般,個体の構成と機能,3,細胞膜を介する物質の能動・受動輸送過程、細胞膜を介する分泌と吸収の過程を説明できる。,"C-02-01-01-03,C-02-01-01-04",
医学一般,個体の構成と機能,4,細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動を説明できる。,"C-02-01-02-01,C-02-01-02-02",
医学一般,個体の構成と機能,5,細胞内輸送システム、微小管の役割や機能を説明できる。,"C-02-01-02-03,C-02-01-02-04",
医学一般,個体の構成と機能,1,上皮組織と腺の構造と機能を説明できる。,C-02-02-01-01,
医学一般,個体の構成と機能,2,支持組織を構成する細胞と細胞間質（線維成分と基質）を説明できる。,C-02-02-01-02,
医学一般,個体の構成と機能,3,血管とリンパ管の微細構造と機能を説明できる。,C-02-02-01-03,
医学一般,個体の構成と機能,4,神経組織の微細構造を説明できる。,C-02-02-01-04,
医学一般,個体の構成と機能,5,筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して説明できる。,C-02-02-01-05,
医学一般,個体の構成と機能,6,組織の再生の機序を説明できる。,C-02-02-01-06,
医学一般,個体の構成と機能,7,位置関係を方向用語（上下、前後、内・外側、浅深、頭・尾側、背・腹側、近位・遠位、内転・外転）で説明できる,C-02-02-02-01,編集あり
医学一般,個体の構成と機能,1,情報伝達の種類と機能を説明できる。,C-02-03-01-01,
医学一般,個体の構成と機能,2,受容体による情報伝達の機序を説明できる。,C-02-03-01-02,
医学一般,個体の構成と機能,3,細胞内シグナル伝達過程を説明できる。,C-02-03-01-03,
医学一般,個体の構成と機能,4,活動電位の発生機構と伝導、シナプス（神経筋接合部を含む）の形態とシナプス伝達の機能（興奮性、抑制性）と可塑性を説明できる。,"C-02-03-02-01,C-02-03-02-02",
医学一般,個体の構成と機能,5,軸索輸送、軸索の変性と再生を説明できる。,C-02-03-02-03,
医学一般,個体の構成と機能,6,刺激に対する感覚受容の種類と機序を説明できる。,C-02-03-02-04,
医学一般,個体の構成と機能,7,反射を説明できる。,C-02-03-02-05,
医学一般,個体の構成と機能,8,生体の非特異的防御機構、特異的防御機構である免疫系の役割を説明できる。,"C-02-03-03-01,C-02-03-03-02",
医学一般,個体の構成と機能,9,体液性と細胞性免疫応答を説明できる。,C-02-03-03-03,
医学一般,個体の構成と機能,10,生体の恒常性維持と適応、恒常性維持のための調節機構（ネガティブフィードバック調節）を説明できる。,"C-02-03-04-01,C-02-03-04-02",
医学一般,個体の構成と機能,11,生体機能や体内環境のリズム性変化を説明できる。,C-02-03-04-03,
医学一般,個体の構成と機能,12,生体の恒常性維持における常在菌・腸内細菌と宿主との相互作用の重要性を説明できる。,C-02-03-04-04,
医学一般,個体の構成と機能,13,運動生理学など、身体活動時の神経・骨格筋、循環器、代謝系の変化を説明できる。,C-02-03-04-05,
医学一般,個体の構成と機能,1,配偶子の形成から出生に至る一連の経過と胚形成の全体像、胚内体腔の形成過程を説明できる。,"C-02-04-na-01,C-02-04-na-07",
医学一般,個体の構成と機能,2,体節の形成と分化、鰓弓・鰓嚢の分化と頭・頸部と顔面・口腔の形成過程を説明できる。,"C-02-04-na-02,C-02-04-na-08",
医学一般,個体の構成と機能,3,体幹と四肢の骨格と筋、心血管系、泌尿生殖器系各器官の形成過程を説明できる。,"C-02-04-na-03,C-02-04-na-05,C-02-04-na-06",
医学一般,個体の構成と機能,4,消化・呼吸器系各器官の形成過程を概説できる。,C-02-04-na-04,
医学一般,個体の構成と機能,5,神経管の分化と脳、脊髄、視覚器、平衡聴覚器と自律神経系、皮膚の形成過程を概説できる。,C-02-04-na-09,追記(MY)
医学一般,個体の構成と機能,1,酵素の機能と調節を説明できる,,新設
医学一般,個体の構成と機能,2,糖質の構造、代謝と調節、生理的意義を説明できる。（解糖、クエン酸回路、電子伝達系と酸化的リン酸化、グリコーゲン代謝、糖新生、五炭糖リン酸回路）,"C-02-05-na-01,C-02-05-na-02,C-02-05-na-03,C-02-05-na-04,C-02-05-na-05,C-02-05-na-06,C-02-05-na-07",
医学一般,個体の構成と機能,3,タンパク質の構造、代謝と調節、生理的意義、ならびに主要なアミノ酸の代謝と尿素回路を説明できる。,"C-02-05-na-10,C-02-05-na-11",
医学一般,個体の構成と機能,4,脂質の構造、代謝と調節、生理的意義、ならびに脂質の輸送を説明できる（リポタンパク質）。,"C-02-05-na-08,C-02-05-na-09",
医学一般,個体の構成と機能,5,ヘム・ポルフィリンの代謝を説明できる。,C-02-05-na-12,
医学一般,個体の構成と機能,6,ヌクレオチドの合成・異化・再利用経路を説明できる。,C-02-05-na-13,
医学一般,個体の構成と機能,7,酸化ストレス（フリーラジカル、活性酸素）を説明できる。,C-02-05-na-14,編集あり
医学一般,個体の構成と機能,8,ビタミン、微量元素の種類と作用を説明できる。,C-02-05-na-15,
医学一般,個体の構成と機能,9,栄養素の相互変換とエネルギー代謝（エネルギーの定義、食品中のエネルギー値、エネルギー消費量、推定エネルギー必要量）を説明できる。,C-02-05-na-16,編集あり
医学一般,個体の構成と機能,10,空腹（飢餓）時、食後（過食時）と運動時における代謝を説明できる,,新設
医学一般,個体の構成と機能,11,複合糖質、複合脂質について概説できる,,新設
医学一般,個体の反応,1,ウイルス粒子の構造を図示し、各部の機能を説明できる。,C-03-01-01-01,
医学一般,個体の反応,2,構造と性状によりウイルスを分類できる。,C-03-01-01-02,
医学一般,個体の反応,3,ウイルスの吸着、侵入、複製、成熟と放出の各過程、ウイルス感染細胞に起こる変化を説明できる。,"C-03-01-01-04,C-03-01-01-05",
医学一般,個体の反応,4,ウイルス感染の種特異性、組織特異性と病原性、主な感染様式の具体例を説明できる。,"C-03-01-01-06,C-03-01-01-07",
医学一般,個体の反応,5,ウイルスに対する中和反応と細胞性免疫、ワクチンによるウイルス感染症予防の原理、ワクチンの種類と問題点を説明できる。,"C-03-01-02-01,C-03-01-02-02,C-03-01-02-03",
医学一般,個体の反応,6,主なデオキシリボ核酸<DNA>ウイルス（単純ヘルペスウイルス I型・II型、サイトメガロウイルス(cytomegalovirus <CMV>)、Epstein-Barr <EB>ウイルス、水痘・帯状疱疹ウイルス、アデノウイルス、パルボウイルスB19、B型肝炎ウイルス、ヒトパピローマウイルス、コロナウイルス）のリスク因子、感染経路と病態を説明し、これらのウイルスが引き起こす疾患名を列挙できる。,C-03-01-03-01,編集あり
医学一般,個体の反応,7,主なリボ核酸<RNA>ウイルス（インフルエンザウイルス、麻疹ウイルス、ムンプスウイルス、風疹ウイルス、ポリオウイルス、コクサッキーウイルス、エコー(enteric cytopathic human orphan <ECHO>)ウイルス、ライノウイルス、A型肝炎ウイルス、C型肝炎ウイルス）が引き起こす疾患名を列挙できる。,C-03-01-03-02,
医学一般,個体の反応,8,レトロウイルス(ヒト免疫不全ウイルス(human immunodeficiency virus <HIV>)の特性と一般ゲノム構造を説明し、分類できる。,C-03-01-03-03,
医学一般,個体の反応,9,細菌の構造を図示し、形態とGram染色により分類できる。,C-03-01-04-01,編集あり
医学一般,個体の反応,10,細菌の感染経路を分類し、細菌が疾病を引き起こす機序を説明できる。,"C-03-01-04-02,C-03-01-04-03",
医学一般,個体の反応,11,Gram陽性球菌（ブドウ球菌、連鎖球菌、肺炎球菌、腸球菌）、Gram陰性球菌（淋菌、髄膜炎菌、モラキセラ）、Gram陽性桿菌（リステリア、Clostridium属　（破傷風菌、ガス壊疽菌、ボツリヌス菌）、Clostridioides difficile、、ジフテリア菌）の細菌学的特徴、リスク因子、感染経路と病態を説明し、とそれが引き起こす疾患を列挙できる。,"C-03-01-04-04,C-03-01-04-06",
医学一般,個体の反応,12,"Gram陰性桿菌
腸内細菌科　大腸菌、クレブシエラ、プロテウスなど
インフルエンザ菌、百日咳菌
細菌性腸炎の原因菌 サルモネラ、赤痢菌、カンピロバクター
レジオネラ
緑膿菌
　Gram陰性らせん菌  ピロリ菌  などのリスク因子、感染経路と病態を説明し、これらが引き起こす疾患を列挙できる。
（大腸菌、赤痢菌、サルモネラ菌、百日咳菌、緑膿菌、レジオネラ、インフルエンザ菌）、Gram陰性菌 (Helicobacter pylori)の細菌学的特徴、リスク因子、感染経路と病態を説明しそれが引き起こす疾患を列挙できる。
","C-03-01-04-05,C-03-01-04-07,C-03-01-04-08",
医学一般,個体の反応,13,抗酸菌（結核菌、非結核性（非定型）抗酸菌）の細菌学的特徴とそれが引き起こす疾患を列挙できる。,C-03-01-04-09,
医学一般,個体の反応,14,真菌（酵母のカンジダ、クリプトコックス、ニューモシスティス、菌糸のアスペルギルス、ムーコル（ムコール））の微生物学的特徴、リスク因子、感染経路と病態を説明し、それが引き起こす疾患を列挙できる。,C-03-01-04-10,
医学一般,個体の反応,15,スピロヘータ、マイコプラズマ、リケッチア、クラミジアの微生物学的特徴とそれが引き起こす疾患を列挙できる。,C-03-01-04-11,
医学一般,個体の反応,16,原虫類・蠕虫類の分類及び形態学的特徴を説明できる。,C-03-01-05-01,C-03-01-05-05は感染症に移動を検討
医学一般,個体の反応,17,寄生虫の生活史、リスク因子、感染経路と病態、感染疫学的意義、寄生虫感染宿主の生体防御の特徴を説明できる。,"C-03-01-05-02,C-03-01-05-03","C-03-01-05-04,C-03-01-05-05は感染症に移動を検討"
医学一般,個体の反応,1,生体防御機構における免疫系の特徴（特異性、多様性、寛容、記憶）を説明できる。,C-03-02-01-01,
医学一般,個体の反応,2,免疫反応に関わる組織と細胞を説明できる。,C-03-02-01-02,
医学一般,個体の反応,3,免疫学的自己の確立と破綻、自然免疫と獲得免疫の違いを説明できる。,"C-03-02-01-03,C-03-02-01-04",
医学一般,個体の反応,4,主要組織適合遺伝子複合体(major histocompatibility complex <MHC>)クラスIとクラスIIの基本構造、抗原提示経路の違いを説明できる。,C-03-02-02-01,
医学一般,個体の反応,5,免疫グロブリンとT細胞抗原レセプターの構造と反応様式、免疫グロブリンとT細胞抗原レセプター遺伝子の構造と遺伝子再構成に基づき、多様性獲得の機構を説明できる。,"C-03-02-02-02,C-03-02-02-03",
医学一般,個体の反応,6,抗原レセプターからのシグナルを増強あるいは減弱する調節機構を概説できる。,C-03-02-03-01,
医学一般,個体の反応,7,代表的なサイトカイン・ケモカインの特徴を説明できる。,C-03-02-03-02,
医学一般,個体の反応,8,ヘルパーT細胞(Th1 cell、Th2 cell、Th17 cell)、細胞傷害性T細胞(cytotoxic T lymphocyte <CTL>)、制御性T細胞(regulatory T cell <Treg>)それぞれが担当する生体防御反応を説明できる。,C-03-02-03-03,
医学一般,個体の反応,9,ウイルス、細菌、真菌と寄生虫に対する免疫応答の特徴を説明できる。,C-03-02-04-01,
医学一般,個体の反応,10,原発性免疫不全症と後天性免疫不全症候群<AIDS>を概説できる。,C-03-02-04-02,
医学一般,個体の反応,11,免疫寛容の維持機構とその破綻による自己免疫疾患の発症を概説できる。,"C-03-02-04-03,C-03-02-02-04",
医学一般,個体の反応,12,アレルギー発症の機序（Coombs分類）を概説できる。,C-03-02-04-04,
医学一般,個体の反応,13,癌免疫に関わる細胞性機序を概説できる。,C-03-02-04-05,
医学一般,個体の反応,1,薬物・毒物の濃度反応曲線を描き、その決定因子を説明できる。,C-03-03-01-01,
医学一般,個体の反応,2,薬物の受容体結合と薬理作用との定量的関連性及び活性薬・拮抗薬と分子標的薬を説明できる。,C-03-03-01-02,
医学一般,個体の反応,3,薬物・毒物の用量反応曲線を描き、有効量・中毒量・致死量の関係を説明できる。,C-03-03-01-03,
医学一般,個体の反応,4,薬物・毒物の吸収、分布、代謝と排泄を説明できる。,C-03-03-02-01,
医学一般,個体の反応,5,薬物の生体膜通過に影響する因子を説明できる。,C-03-03-02-02,
医学一般,個体の反応,6,薬物投与方法（経口、舌下、皮膚、粘膜、直腸、注射、吸入、点眼、点鼻等）を列挙し、それぞれの薬物動態を説明できる。,C-03-03-02-03,
医学一般,個体の反応,7,薬物の評価におけるプラセボ効果の意義を説明できる。,C-03-03-03-01,
医学一般,病因と病態,1,ゲノムの多様性に基づく個体の多様性を説明できる。,C-04-01-na-01,
医学一般,病因と病態,2,単一遺伝子疾患、染色体異常による疾患、ミトコンドリア遺伝子の変異による疾患を挙げ、遺伝様式を含め説明できる,"C-04-01-na-02,C-04-01-na-03,C-04-01-na-04",
医学一般,病因と病態,3,エピゲノムの機序及び関連する疾患、多因子疾患における遺伝要因と環境要因の関係を説明できる。,"C-04-01-na-05,C-04-01-na-06",
医学一般,病因と病態,4,薬剤の有効性や安全性とゲノムの多様性との関係を概説できる。,C-04-01-na-07,
医学一般,病因と病態,1,ネクローシスとアポトーシスの違いを含め、細胞傷害・変性と細胞死の多様性、病因と意義を説明できる,"C-04-02-na-01,C-04-02-na-03",
医学一般,病因と病態,2,細胞傷害・変性と細胞死の細胞と組織の形態的変化の特徴を説明できる。,C-04-02-na-02,
医学一般,病因と病態,1,糖代謝異常の病態を説明できる。,C-04-03-na-01,
医学一般,病因と病態,2,タンパク質・アミノ酸代謝異常の病態を説明できる。,C-04-03-na-02,
医学一般,病因と病態,3,脂質代謝異常の病態を説明できる。,C-04-03-na-03,
医学一般,病因と病態,4,核酸・ヌクレオチド代謝異常の病態を説明できる。,C-04-03-na-04,
医学一般,病因と病態,5,ビタミン、微量元素の代謝異常の病態を説明できる。,C-04-03-na-05,
医学一般,病因と病態,6,肥満に起因する代謝障害の病態を説明できる。,C-04-03-na-06,
医学一般,病因と病態,1,血行障害（阻血、虚血、充血、うっ血、出血）の違いとそれぞれの病因と病態、梗塞（血栓、塞栓）の種類と病態を説明できる,"C-04-04-na-01,C-04-04-na-02",
医学一般,病因と病態,2,ショック（血流分布異常性ショック（アナフィラキシー、感染性（敗血症性）、神経原性）、循環血液量減少性ショック（出血性、体液喪失）、心原性ショック（心筋性、機械性、不整脈）、閉塞性ショック（心タンポナーデ、肺塞栓症、緊張性気胸））を説明できる。,C-04-04-na-03,
医学一般,病因と病態,3,血圧異常（高血圧、低血圧）を説明できる。,C-04-04-na-04,
医学一般,病因と病態,4,臓器不全（多臓器不全、多臓器障害(multiple organ dysfunction syndrome <MODS>)）を説明できる。,C-04-04-na-05,
医学一般,病因と病態,1,炎症の定義を説明できる。,C-04-05-na-01,
医学一般,病因と病態,2,炎症の分類、組織形態学的変化と経時的変化（局所的変化と全身的変化）を説明できる。,C-04-05-na-02,
医学一般,病因と病態,3,感染症による炎症性変化を説明できる。,C-04-05-na-03,
医学一般,病因と病態,4,創傷の治癒過程を概説できる。,C-04-05-na-04,
医学一般,病因と病態,1,自律性の増殖と、良性腫瘍と悪性腫瘍の違いを説明できる。,C-04-06-na-01,
医学一般,病因と病態,2,癌の原因や遺伝子変化を説明できる。,C-04-06-na-02,
医学一般,病因と病態,3,腫瘍の分類、分化度、グレード、ステージを概説できる。,C-04-06-na-03,
医学一般,病因と病態,4,用語（異形成、上皮内癌、進行癌、早期癌、異型性、多形性等）を説明できる。,C-04-06-na-04,
医学一般,病因と病態,5,癌の診断と治療を概説できる。,C-04-06-na-05,
医学一般,病因と病態,6,癌の転移を説明できる。,C-04-06-na-06,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,1,骨髄の構造を説明できる。,D-01-01-na-01,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,2,造血幹細胞から各血球への分化と成熟の過程、主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子(granulocyte-colony stimulating factor <G-CSF>)、トロンボポエチン）を説明できる,"D-01-01-na-02,D-01-01-na-03",
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,3,脾臓、胸腺、リンパ節、扁桃とPeyer板の構造と機能を説明できる。,D-01-01-na-04,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,4,血漿タンパク質の種類と機能を説明できる。,D-01-01-na-05,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,5,赤血球とヘモグロビン、白血球、血小板の構造と機能、止血や凝固・線溶の機序を説明できる,"D-01-01-na-06,D-01-01-na-07,D-01-01-na-08",
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,1,末梢血の血球数の基準値とその変化の意義を説明できる。,D-01-02-na-01,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,3,骨髄検査（骨髄穿刺、骨髄生検）を説明できる。,D-01-02-na-02,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,3,血漿タンパク質の基準値とその変化の意義を説明できる。,D-01-02-na-03,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,1,発熱、全身倦怠感、黄疸、貧血、出血傾向、リンパ節腫脹、腹部膨隆（腹水を含む）・腫瘤,"D-01-03-na-01,D-01-03-na-02,D-01-03-na-03,D-01-03-na-04,D-01-03-na-05,D-01-03-na-06,D-01-03-na-07",
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,1,貧血を分類し、鑑別に有用な検査を列挙できる。,D-01-04-01-01,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,2,鉄欠乏性貧血、二次性貧血、再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)、溶血性貧血、巨赤芽球性貧血の病因、病態、診断と治療を説明できる。,"D-01-04-01-02,D-01-04-01-03,D-01-04-01-04,D-01-04-01-05",
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,3,出血傾向の病因、病態、症候と診断を説明できる。,D-01-04-02-01,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,4,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)、血友病、播種性血管内凝固(disseminated intravascular coagulation <DIC>)、 溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)、IgA血管炎(Schönlein-Henoch紫斑病)、血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)の病因、病態、診断と治療を説明できる,"D-01-04-02-02,D-01-04-02-03,D-01-04-02-04,D-01-04-02-05,D-01-04-02-06,D-01-04-02-07",
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,5,脾腫をきたす疾患を列挙し、鑑別の要点を説明できる。,D-01-04-03-01,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,6,急性白血病の病態、症候、病理所見、French-American-British <FAB>分類、WHO分類、治療と予後を説明できる,"D-01-04-04-01,D-01-04-04-02",
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,7,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,D-01-04-04-03,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,8,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,D-01-04-04-04,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,9,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,D-01-04-04-05,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,10,小児白血病と成人白血病の違いを説明できる。,D-01-04-04-06,
