第2層,第3層,第4層,UID,H28対応項目,メモ,H28の記述,査読への返答,A,B,C,D,E,F,G,H,I
連携の基盤となるアプローチ,患者・利用者・家族・コミュニティ中心,患者・利用者・家族の価値観や関心事を、多職種(多学部)に伝えられる。,Jkxp2HQ,,新規,#NAME?,（返信）統合し、削除しました。,他職種で共有できるのほうがすんなり落ちるのですが、学生レベルをやや超えますか？,,,,,２，３，４統合？,,,
連携の基盤となるアプローチ,患者・利用者・家族・コミュニティ中心,患者・利用者・家族を中心とした治療やケアの目標を多職種(多学部)と話し合うことができる。,Jkxp2HU,,新規,,（返信）統合し、削除しました。,,,,,,,,,
連携の基盤となるアプローチ,患者・利用者・家族・コミュニティ中心,患者・利用者・家族に伝えた内容について、治療やケアに関わる多職種(多学部)と共有できる。,Jkxp2HY,,新規,,,「伝えた内容」に限る理由がありますか？,,,,,,,,
連携の基盤となるアプローチ,職種間コミュニケーション,自職種（自学部）が把握している情報を、多職種（多学部）に伝えられる。,Jkxp2Hc,,新規,,（返信）統合し、削除しました。,伝えるだけでなく、他職種から得られることもあると思います。,,,,,５，６，７統合？？,,,
連携の基盤となるアプローチ,職種間コミュニケーション,多職種（多学部）の役割や意見を尊重した返答または問いかけができる。（非言語コミュニケーション含む）,Jkxp2Hg,,新規,,(返信）（　）は削除しました。,"非言語コミュニケーションを含む（助詞漏れ）
コミュニケーションチームとどちらでどう記載するかで整合を",,orではなくてandでよいのでは「返答や問いかけができる」,,,,,,
連携の基盤となるアプローチ,職種間コミュニケーション,自職種（自学部）の見解を、他職種（他学部）にも理解できる言葉で説明できる。,Jkxp2Hk,,新規,,（返信）統合し、削除しました。,自職種の見解とまで構えずに「自身の考えを」くらいのほうが学生にはわかりやすくないでしょうか,,,,,,,,
連携の基盤となるアプローチ,医師間の紹介と相談,適切な診断・検査・治療を目指すだけでなく、回避可能な合併症を防ぐために、適切な施設/専門科/医師への紹介あるいは相談ができる。,Jkxp2Ho,,新規,,（返信）査読者のコメントを参考に、修正しました。,"「回避可能な合併症を防ぐために」という限定表現は不要では。
適切な◯◯を目指し、・・・紹介や相談ができる。という素直な表現を",,「適切な診断・検査・治療、回避可能な合併症の予防のために」,,,,,,
連携の基盤となるアプローチ,医師間の紹介と相談,紹介と相談のプロセスにおいて、患者・家族に予想しうる状況を共有できる。,Jkxp2Hs,,新規,,（返信）統合し、削除しました。,これは医師間の紹介と相談の項目でしょうか？ 削除,,,,,,,,
連携の基盤となるアプローチ,医師間の紹介と相談,医師間での患者のケアと責任が継続できるよう、医師間での考えや期待を共有し、医師間の責任を明確にできる。,Jkxp2Hw,,新規,,（返信）医師観を削除し、共有できるまでとしました。,"日本語をもう少しブラッシュアップ
・◯◯のために、の部分は不要で、明確な達成目標のみを記載するほうが読みやすい",,「医師間」を少し省いたほうが読みやすい。「考えや期待」は患者の？医師の？「患者のケアと責任が継続できるよう、医師間で考えや期待を共有し、責任を常に明確にできる」。,,,,,,
連携に必要とされるアプローチ,職種役割の貢献,自職種（自学部）がもつ一般的な知識や価値観を、他職種（他学部）に伝えられる。,Jkxp2H0,,新規,,（返信）文章を読みやすいように修正しました。,"読みにくい
一般的なが必要か、自学部は必要か、自身ではだめか？",,,,,,,,
連携に必要とされるアプローチ,職種役割の貢献,患者・利用者に対して、多職種（多学部）の中で自職種（自学部）の役割を果たせる。,Jkxp2H4,,新規,,（返信）査読者のコメントを参考に、修正しました。,"なぜここだけ家族はなくなったのか
読みにくい　",,,,,,,,
連携に必要とされるアプローチ,職種役割の貢献,多職種（多学部）から求められる自職種（自学部）の役割を担える。,Jkxp2H8,,新規,,（返信）統合し、削除しました。,"2行上と似ています。
役割を担う、は学生レベルでしょうか。",,12との違いがわかりにくい,,,１２と統合,,,
連携に必要とされるアプローチ,関係性への働きかけ,多職種（多学部）と対等な関係を構築できる。,Jkxp2IA,,新規,,（返信）統合し、削除しました。,対等とはどのような意味をもつのでしょうか？ある程度の権力勾配は医療安全のために役立つこともありますので、慎重な形容詞を,,,,,,,,
連携に必要とされるアプローチ,関係性への働きかけ,多職種（多学部）と一緒に成長する志を醸成できる。,Jkxp2IE,,新規,,（返信）査読者のコメントを参考に、修正しました。,学生が、志を醸成することが卒業時に求められるでしょうか,,peer learningの機会は既に学生からあると思うので、「〜と一緒に学び合い、成長できる」レベルでよいのでは？,,,,,,
連携に必要とされるアプローチ,関係性への働きかけ,多職種（多学部）との対人葛藤が起きないようにできる。,Jkxp2II,,新規,,（返信）統合し、削除しました。,学生レベルではコミュニケーションの項目や14行目で十分では？,,起きないようにするのは現実として難しいと思うので、「〜との対人葛藤が起きうる状況で、省察的に振る舞うことができる」,,,,,,
連携に必要とされるアプローチ,自職種の省察,自職種が持ちやすい価値観を説明できる。,Jkxp2IM,,新規,,（返信）査読者のコメントを参考に、修正しました。,"持ちやすい価値観とは？
持ちがちな（悪い）価値観のように読めます
この項は不要では",,,,,削除候補と思います・,,,
連携に必要とされるアプローチ,自職種の省察,自職種の役割を説明できる。,Jkxp2IQ,A-05-01-na-04,修正：左記の学修目標では、保健、医療、福祉と介護のチーム連携における医師の役割を説明できると記載されていたが、患者やセッティングに応じて優先する職種が異なることもあるため、細かい文脈は方略に記載することを提案する。,,（返信）統合し、削除しました。,改めて必要でしょうか,,13とまとめて「多職種（多学部）から求められる役割を理解した上で、自職種が果たすべき役割を担うことができる」求められる役割をそのまま担えばいいわけでもなく、自職種の役割は説明できるレベル以上に行動できるレベルが求められると思うので。,,,,,,
連携に必要とされるアプローチ,自職種の省察,他職種（他学部）に影響しうる自職種（自学部）の行動を分析できる。,Jkxp2IU,,新規,,（返信）査読者のコメントを参考に、修正しました。,,,,,,削除候補と思います。,18に統合してはいかがでしょうか。,,
連携に必要とされるアプローチ,他職種の理解,他職種の役割を説明できる。,Jkxp2IY,A-05-01-na-02,修正：左記の学修目標の後半には、連携・責任体制を説明できるとなっており、学生に求める目標としては高いため、削除した。他職種も医療チームの構成や各構成員（医師、歯科医師、薬剤師、看護師、その他の医療職）と保健、医療、福祉と介護のチーム連携が別に分かれていたため、ここは統合し、他職種とし方略に記載することを提案する。,,,,,,,,他のところにあるのでは。,,,
連携に必要とされるアプローチ,他職種の理解,他職種（他学部）の価値観を説明できる。,Jkxp2Ic,,新規,,（返信）統合し、削除しました。,"他職種の価値観まで学生が確実に説明できるでしょうか
直上の項目で十分かと思います",,「価値観を説明する」ためにはそこに至るまでに他の能力が必要で、学生には難しい（カリキュラム提供者側もどういう学習機会を設ければいいかわかりにくい）と思うので、「他職種（他学部）が異なる価値観を持ちうることに興味を持ち、対話と協働の中でそれを理解することができる」はどうでしょうか。,,,削除候補と思います。,削除でよいのではないでしょうか。,,
連携に必要とされるアプローチ,他職種の理解,他職種（他学部）が働く職場環境・学習環境について説明できる。,Jkxp2Ig,,新規,,（返信）査読者のコメントを参考に、修正しました。,IPEを想定しているのだとは思いますが、削除でいいと思います,,,,,削除候補と思います,削除でよいのではないでしょうか。,,
,,,Jkxp2Ik,,,,,,,,,,,,,
