第2層,第3層,第4層,UID,H28対応項目,H28表記,「概要を理解している」で良い場合には●(20220410),第4層(202004113)作業用,第4層(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),医学教育課修正案(20220327),医学教育課からのコメント(20220327),チームからの修正提案(20220317),チームからのコメント(20220317),第4層(技術参与清書),第4層(20220302査読直前),修正提案(20220302),査読コメント(20220302),全体編集コメント,チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,第4層(計算列),メモ,査読への返答,A,B,C,D,E,F,G,H,I,Unnamed: 34
患者の情報収集,医療面接,医療面接における基本的コミュニケーション技法を用いることができる。,Jkxirsc,F-03-02-na-02,医療面接における基本的コミュニケーション技法を用いることができる。,,医療面接における基本的コミュニケーション技法を用いることができる。,医療面接における基本的コミュニケーション技法を用いることができる。,,,,,,,医療面接における基本的コミュニケーション技法を用いることができる。,医療面接における基本的コミュニケーション技法を用いることができる。,医療面接における基本的コミュニケーション技法を用いることができる。,ママ,,1.0,,医療面接における基本的コミュニケーション技法を用いることができる。,コミュではなく技能で扱う(2022/2/7)(近藤),技能(技能+コミュ)で審議し技能で扱うこととしました,コミュニケーション領域へ,コミュと重なる,コミュ7と重複。基本的コミュニケーションスキルとは具体的に何か記載がないと、カリキュラム立案に反映しにくい。入れるとしても「医療面接において」では。,,問が漠然としているので削除で良いのでは？,,,,,
患者の情報収集,医療面接,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,Jkxirsg,F-03-02-na-03,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,,,,,,,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,ママ,,1.0,,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,,技能(技能+コミュ)で審議しこのままとしました,,,網羅的に聞き取った上で取捨選択するのではなく、鑑別疾患を考えながら必要な情報を聴取していくアプローチを学ぶ必要があることを表現できたらと思うので、「主訴に対する鑑別疾患を想起しながら、その吟味に必要な病歴（....）を聴取できる」,,,"臨床推論の最重要項目であり医師の能力が大きく作用する現病歴について、ある程度アンケートでも記載できる常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、と同列に扱われてきているのが気になっておりました。OSCEでも、十分に現病歴をとらずに家族歴、既往歴に進んでしまう残念な学生がいるので重点的に指導しておりますが、学ぶ方も教える方も意識改革が必要そうです。診療参加の本幹である、日々の診療・カルテ記載の基本にもなりますので、別枠の方が良いのではと思いました。
『主訴を正確に把握して鑑別診断を想起し、詳細に現病歴（発症様式、経過と場 所、質、放散痛、程度、軽快因子、増悪因子、随伴症状など）を聴取することができる。』など。一意見でした。",,,,
患者の情報収集,医療面接,患者に関わる人達から必要な情報を得ることができる。,Jkxirso,"F-03-05-08-04,G-04-01-03-04","保護者から必要な情報を得たり対応したりすることに可能な範囲で参加できる。,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加する。",,患者に関わる人達から必要な情報を得ることができる。,患者に関わる人たちから必要な情報を得ることができる。,1.0,,患者に関わる人達から必要な情報を得ることができる。,「たち」→「達」に修正しました。「得ることが参加できる」を「得ることができる」に修正しました。,患者に関わる人たちから必要な情報を得ることができる。,,患者に関わる人たちから必要な情報を得ることが参加できる。,患者に関わる人たちから必要な情報を得ることが参加できる。,,コミュ27と重複,,1.0,,患者に関わる人たちから必要な情報を得ることが参加できる。,コミュではなく技能で扱う、保護者→患者に関わる人たち(さらに良い言葉があれば変更)(2022/2/7)(近藤),対応しました,,高齢者の場合も「保護者」なのか？,コミュ26と重複。小児の項目なのでしょうが、成人でも認知症の方の家族や知人・行政関係者などの代理人（代理意思決定者を含む）から情報を得る場面はあるので、一般化して「必要に応じて家族や家族以外の代理人から患者に関する情報を得たり対応したりすることに、指導医とともに参加できる」,,保護者→保護者や第三者で良いのでは？,,可能な範囲でという言葉がやや抽象的か。,,,【宮地】コミュ27との区別をどうつけるか？
患者の情報収集,身体所見,患者の状態に応じた診察ができる。,Jkxirss,F-03-05-01-06,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,,患者の状態に応じた診察ができる。,患者の状態に応じた診察ができる。,,,,,,,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,患者の状態に応じた診察ができる。,査読者Iの意見、遠隔診療まで行われている今日、診察が不可能、という状況が想定しにくい,,2.0,,患者の状態に応じた診察ができる。,,技能で審議しこのままとしました,,,学生の独断では難しいと思うので、「〜を判断し、指導医と相談した上で状態に応じた診察ができる」ではどうでしょうか,,ができる→の重要性を理解できる（実施は学生レベルを超えることが多い）,,,「患者の状態に応じた診療ができる」だけではだめでしょうか,,
患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,Jkxirs8,F-03-05-02-07,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,,,,,,,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,,,1.0,,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,バイタルより上に移動(2022/2/7)(近藤),技能で審議しこのままとしました,,,,,,の診察を行い、主な異常の有無を指摘できる。,,,,
患者の情報収集,身体所見,バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。,Jkxirs0,"F-02-09-02-02,F-03-05-02-05,F-03-05-02-04,F-03-05-02-02,F-03-05-02-06,F-03-06-02-05","基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,腋窩で体温を測定できる。,呼吸数を測定し、呼吸の異常の有無を確認できる。,上腕で触診、聴診法により血圧を測定できる。,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,経皮的酸素飽和度を測定できる。",,バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。,バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。,,,,,,,バイタルサイン（体温、呼吸数、酸素飽和度、脈拍、血圧）の測定ができる。,バイタルサイン(体温、呼吸数、酸素飽和度、脈拍、血圧)の測定ができる,バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。,査読者Iの意見,,2.0,,バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。,(腋窩)(橈骨)(上肢・下肢)を削除(2022/2/7)(近藤),対応しました,（）のなかの（）という記載を修正可能なら,,,,,卒業時ですので、・・・測定ができ、おもな異常所見を指摘できる。　ごよいのでは、,,,医師国家試験等の記載順に合わせ、体温、脈拍、血圧、呼吸数、酸素飽和度の順に記載するのはいかがでしょうか。,
患者の情報収集,身体所見,適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。,Jkxirs4,F-03-02-na-04,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,,適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。,適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。,,,,,,,適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。,適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。,適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。,ママ,,1.0,,適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。,,対応しました,説明できるではなく、対位をとらせることができる,説明できる→患者にとってもらうことができる,,,,を説明し、実施できる。？,,実施でいいと思います,,
患者の情報収集,身体所見,部位毎の身体診察(表[身体診察])ができる。,,F-03-02-na-04,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,,部位毎の身体診察(表[身体診察])ができる。,部位毎の身体診察(表[身体診察])ができる。,2.0,修正しました,,出力時に??となっていることに留意。,,,,,部位毎の身体診察[@tbl:身体診察]ができる。,新設,,2.0,,部位毎の身体診察[@tbl:身体診察]ができる。,,,,,,,,,,,,
患者の情報収集,身体所見,主要診療科(表[主要診療科])において必要な診察ができる。,Jkxiru4,"G-04-02-01-04,G-04-02-02-04,G-04-02-03-04,G-04-02-04-04,G-04-02-05-04,G-04-02-06-04,G-04-02-07-04,G-04-02-08-04,G-04-02-09-04,G-04-02-10-04,G-04-02-11-04,G-04-02-13-03,G-04-02-14-04,G-04-02-15-04,G-04-01-01-05,G-04-01-03-06,F-03-05-08-06,G-04-01-04-06","該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,基本的な内科的診察技能について学ぶ。,基本的な小児科診察技能について学ぶ。,基本的な小児科診察ができる。,基本的な婦人科診察技能について学ぶ。",,主要診療科(表[主要診療科])において必要な診察ができる。,主要診療科(表[主要診療科])において必要な診察ができる。,2.0,修正しました,,出力時に??となっていることに留意。,,,主要診療科[^table:主要診療科]における診察ができる。,主要診療科[^table:主要診療科]における診察ができる。,主要診療科[@tbl:主要診療科]において必要な診察ができる。,「主要診療科における診察」が何を指すのかわかりにくいと考え、「必要な診察」としました。,,2.0,,主要診療科[@tbl:主要診療科]において必要な診察ができる。,"以下から統合(脳神経外科,泌尿器科,麻酔科,リハビリテーション科,眼科,歯科口腔外科,皮膚科,病理診断科,臨床検査科,放射線科,耳鼻咽喉科,形成外科,整形外科,その他)(近藤)",基本診療科は別表に記載される診療科を指します。,別テーブルによる記載は冗長な繰り返しを避ける意味で良い考えだと思います,「診療技能」という言葉が抽象的,11から40までの診察技能とはまた別に何か必要な診察技能があるということでしょうか？それであれば明記したほうがよいのでは？,,基本診療科の定義が不明（新専門医制度の基本19領域を指すのであれば、広すぎて不適）では？,"基本診療科[^table:基本診療科]において・・・・・・・。』の記述ですが、主に記載されている診察以外に各診療科の診察で、将来、何科に進むにも大切な診察を教えてほしい意味で、記載されていたと思います。現在のところ、主な診察手技の記載では、皮膚所見が見当たりません？？が、それ以外は、ほぼ診察は網羅されて記載されているように思われます。救急、等他も、現在記載されているもので大丈夫であれば、この項目は削除でもよいと思ますが、このような経過があったと思いますので、報告いたします。
その後も何度か　基本診療科[^table:基本診療科]において　　・・・　が出てきます。鑑別、検査、治療等。",,診療技能、が何をさすのかが難しいですね,,
患者情報の統合、分析と評価、診療計画,カルテ記載,適切に患者の情報を収集し、問題志向型医療記録を作成できる。,Jkxiru8,"F-03-03-na-01,G-03-01-na-16","適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。,診療録（カルテ）を作成する。",,適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。,適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。,,,,,,,適切に患者の情報を収集し、問題志向型医療記録（POMR）を作成できる。,適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。,適切に患者の情報を収集し、問題志向型医療記録（POMR）を作成できる。,ママ,,1.0,,適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。,,,,,,,,,,,,
患者情報の統合、分析と評価、診療計画,カルテ記載,診療経過を主観的所見・客観的所見・評価・計画で記載できる。,JkxirvA,F-03-03-na-02,診療経過を主観的所見・客観的所見・評価・計画<SOAP>で記載できる。,,診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。,診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。,,,,,,,診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。,診療経過を主観的所見・客観的所見・評価・計画<SOAP>で記載できる。,診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。,ママ,,2.0,,診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。,,,,,,,,,,,,
患者情報の統合、分析と評価、診療計画,カルテ記載,過去の診療経過をまとめて診療録に記載できる。,JkxirvE,,,,過去の診療経過をまとめて診療録に記載できる。,過去の診療経過をまとめて診療録に記載できる。,,,,,,,過去の診療経過をまとめて診療録に記載できる。,過去の診療経過をまとめて診療録に記載できる,過去の診療経過をまとめて診療録に記載できる。,ママ,,1.0,,過去の診療経過をまとめて診療録に記載できる,"カルテ→診療録(2022/2/7)(近藤),新設、第2層「情報収集」に存在した第3層「検査結果」及び「治療経過」は過去の資料の収集を意図したものであったため、「カルテ記載」に移動した(近藤)",病歴・身体所見に加えて過去の情報の収集ということを意図しました,"情報チームと協働して、電子カルテへの記載についても考えてください
（診療技能としてのカルテ記載は技能、電カルについての技能や態度は情報になるとは思いますが、相互に参照できるようなあるとベターです）",,,,,カルテ記載は、診療参加の本幹であり、強調してもよいのではとおもいました。定期的にサマリーを記載できる。などは、教える立場の意識改革にもつながり重要なのでは。本当は、退院総括が理想ですが。,,サマリーという意味でしょうか？あえて新設した意義は？,,
患者情報の統合、分析と評価、診療計画,臨床推論,主要症候(表[主要症候])について原因と病態生理を理解している。,JkxirvI,"F-01-01-na-01,F-01-02-na-01,F-01-03-na-01,F-01-04-na-01,F-01-05-na-01,F-01-06-na-01,F-01-07-na-01,F-01-08-na-01,F-01-09-na-01,F-01-10-na-01,F-01-11-na-01,F-01-12-na-01,F-01-13-na-01,F-01-14-na-01,F-01-15-na-01,F-01-16-na-01,F-01-17-na-01,F-01-18-na-01,F-01-19-na-01,F-01-20-na-01,F-01-21-na-01,F-01-22-na-01,F-01-23-na-01,F-01-24-na-01,F-01-25-na-01,F-01-26-na-01,F-01-27-na-01,F-01-28-na-01,F-01-29-na-01,F-01-30-na-01,F-01-31-na-01,F-01-32-na-01,F-01-33-na-01,F-01-34-na-01,F-01-35-na-01,F-01-36-na-01,F-01-37-na-01,F-03-01-na-04,G-04-01-03-01","発熱の原因と病態生理を説明できる。,全身倦怠感の原因と病態生理を説明できる。,食思(欲)不振の原因と病態生理を説明できる。,体重減少・体重増加の原因と病態生理を説明できる。,ショックの原因と病態生理を説明できる。,心停止の原因と病態生理を説明できる。,意識障害・失神の原因と病態生理を説明できる。,けいれんの原因と病態生理を説明できる。,めまいの原因と病態生理を説明できる。,脱水の原因と病態生理を説明できる。,浮腫の原因と病態生理を説明できる。,発疹の原因と病態生理を説明できる。,咳・痰の原因と病態生理を説明できる。,血痰・喀血の原因と病態生理を説明できる。,呼吸困難の原因と病態生理を説明できる。,胸痛の原因と病態生理を説明できる。,動悸の原因と病態生理を説明できる。,胸水の原因と病態生理を説明できる。,嚥下困難・障害の原因と病態生理を説明できる。,腹痛の原因と病態生理を説明できる。,悪心・嘔吐の原因と病態生理を説明できる。,吐血・下血の原因と病態生理を説明できる。,便秘・下痢の原因と病態生理を説明できる。,黄疸の原因と病態生理を説明できる。,腹部膨隆（腹水を含む）・腫瘤の原因と病態生理を説明できる。,貧血の原因と病態生理を説明できる。,リンパ節腫脹の原因と病態生理を説明できる。,尿量・排尿の異常の原因と病態生理を説明できる。,血尿・タンパク尿の原因と病態生理を説明できる。,月経異常の原因と病態生理を説明できる。,不安・抑うつの原因と病態生理を説明できる。,もの忘れの原因と病態生理を説明できる。,頭痛の原因と病態生理を説明できる。,運動麻痺・筋力低下の原因と病態生理を説明できる。,腰背部痛の原因と病態生理を説明できる。,関節痛・関節腫脹の原因と病態生理を説明できる。,外傷・熱傷の病態生理を説明できる。,主要疾患の症例に関して、診断・治療計画を立案できる。,主訴からの診断推論を組み立てる、又はたどる。",,主要症候(表[主要症候])について原因と病態生理を理解している。,主要症候(表[主要症候])について原因と病態生理を理解している。,,,,,,,主要症候[^table:主要症候]について原因と病態生理を説明できる。,主要症候[^table:主要症候]について原因と病態生理を説明できる。,主要症候[@tbl:主要症候]について原因と病態生理を理解している。,説明できる→理解しているに変更,,2.0,,主要症候[@tbl:主要症候]について原因と病態生理を理解している。,知識の症候もまとめた症状・症候のテーブルを作ることを検討(2022/2/7)(近藤),基本症候は別表に記載されます,,,「基本症候」が「F/G（多臓器にまたがる症状・症候）」に限定されないような書き方が必要。単一臓器がメインとなる他の重要な症状・症候がDに含まれる予定なので。あるいは、「基本症候」としてDとF/Gに含まれる全ての（症状・）症候を列挙する必要がある。,,,,,,,
